"","ISO","Year","Infant mortality rate","Under 5 mortality rate","Neonatal mortality rate","Maternal mortality rate"
"413","SDN",2000,66.9,104.3,37.1,667
"414","SDN",2019,41,58.4,27.3,NA
"415","SEN",2000,67.7,129.5,38.2,553
"416","SEN",2019,29.8,39.7,21.1,NA
"417","SGP",2000,3,3.9,1.6,13
"418","SGP",2019,2,2.4,0.8,NA
"419","SLB",2000,25.6,30.7,12.8,245
"420","SLB",2019,17.1,20,8.1,NA
"421","SLE",2000,138.1,224.9,48.4,2480
"422","SLE",2019,82.4,111.9,32,NA
"423","SLV",2000,27.4,33.2,15,73
"424","SLV",2019,11.5,13.3,6.5,NA
"425","SMR",2000,5,5.6,2.8,NA
"426","SMR",2019,1.6,1.8,0.8,NA
"427","SOM",2000,104.4,172.7,44.7,1210
"428","SOM",2019,74.8,118.3,37.4,NA
"429","SRB",2000,10.9,12.6,7.8,13
"430","SRB",2019,4.9,5.7,3.6,NA
"431",NA,2000,91.21701055,150.8200264,40.28308437,870
"432",NA,2019,51.58530732,75.58059527,27.64085654,NA
"433","SSD",2000,108.9,181.2,56,1730
"434","SSD",2019,63.3,97.9,40.3,NA
"435",NA,2000,91.2,150.9,40.3,870
"436",NA,2019,51.6,75.6,27.6,NA
"437",NA,2000,49.43351285,74.55079974,26.4361222,400
"438",NA,2019,32.32778064,42.57930843,20.32951271,NA
"439","STP",2000,54.3,82,22.2,179
"440","STP",2019,13.5,17,8.2,NA
"441","SUR",2000,27.5,31.2,17.1,221
"442","SUR",2019,16.2,18.1,11.2,NA
"443","SVK",2000,8.2,9.8,5,8
"444","SVK",2019,4.8,5.8,3,NA
"445","SVN",2000,4.6,5.5,3.2,12
"446","SVN",2019,1.8,2.3,1.3,NA
"447","SWE",2000,3.4,4.1,2.3,5
"448","SWE",2019,2.2,2.7,1.5,NA
"449","SWZ",2000,67.8,112.2,25.3,521
"450","SWZ",2019,37.7,48,20.7,NA
"451","SXM",2000,NA,NA,NA,NA
"452","SXM",2019,NA,NA,NA,NA
"453","SYC",2000,11.8,13.8,8.7,53
"454","SYC",2019,12.3,14.3,8.6,NA
"455","SYR",2000,19.6,23,12.1,26
"456","SYR",2019,18.4,22.2,10.8,NA
"457","TCA",2000,NA,NA,NA,NA
"458","TCA",2019,NA,NA,NA,NA
"459","TCD",2000,99.7,184,44.1,1420
"460","TCD",2019,69,113.5,33.3,NA
"461",NA,2000,33.00894493,41.60753348,21.31940784,121
"462",NA,2019,11.98094798,14.99435143,7.353737293,NA
"463",NA,2000,27.58651909,33.36267772,15.8175298,43
"464",NA,2019,9.303456941,10.78264562,5.582100763,NA
"465","TGO",2000,75.7,119.9,36.7,489
"466","TGO",2019,45.5,66.5,25,NA
"467","THA",2000,18.7,22,12.4,43
"468","THA",2019,7.7,9,5.1,NA
"469","TJK",2000,67.6,83.6,28.4,53
"470","TJK",2019,29.2,33.3,14.5,NA
"471","TKM",2000,57.5,69.7,29.6,29
"472","TKM",2019,36.6,42.4,23.8,NA
"473",NA,2000,27.84136067,33.525942,16.34160245,97
"474",NA,2019,14.28084628,16.70986209,9.419553598,NA
"475","TLS",2000,84.5,107.7,37.8,745
"476","TLS",2019,37.7,43.7,19.9,NA
"477",NA,2000,36.93340972,46.27651498,22.80822918,106
"478",NA,2019,19.7035839,23.80500631,13.21816535,NA
"479","TON",2000,14.5,16.9,7.1,77
"480","TON",2019,10,11.7,5.1,NA
"481",NA,2000,68.65814399,93.30056111,46.18669582,395
"482",NA,2019,33.1118778,40.27121393,24.8635538,NA
"483",NA,2000,91.21257207,150.8123685,40.28131924,870
"484",NA,2019,51.58368975,75.57807204,27.64007253,NA
"485","TTO",2000,24.7,27.9,18,81
"486","TTO",2019,15.4,17.2,11,NA
"487","TUN",2000,25,29.9,18.3,66
"488","TUN",2019,14.5,16.9,12,NA
"489","TUR",2000,30.9,37.9,18.2,42
"490","TUR",2019,8.6,10.1,5.3,NA
"491","TUV",2000,33.9,42.1,24.3,NA
"492","TUV",2019,19.3,22.7,10.4,NA
"493","TZA",2000,78.9,129.7,33.7,854
"494","TZA",2019,35.8,50.5,20.6,NA
"495","UGA",2000,87.1,146.1,32.3,578
